"word_txt","word_tr","phrase_txt","phrase_tr","prev_word_txt","prev_word_tr","next_word_txt","next_word_tr","poss_type","pronominal","ablative","poss_rel"
"ngämo","1.sg.poss","Ngämo bin a Gidu ainen","My name Gidu",NA,NA,"bin","name","ngämo","yes","no",NA
"ngämo","1.sg.poss","A ddob lla da ngämo bin di aiai ttaem erallo a ddob ddone","Some people call me by my name properly and some don't.","da","nom","bin","name","ngämo","yes","no",NA
"ngämo","1.sg.poss","A ge ada ddob bin a ngämo gänyag a Nakllae","And too, my other names are, Nakllae","a","nom","gänyag","cop.here.prs.plS","ngämo","yes","no",NA
"ngämo","1.sg.poss","Ddob llaeyaba kame dag ge bin a be ge ama umllang dag oke ngämo bin di ubi ttaem erallo ge","Some people don't know this name, but those that know me by this name, call me by it.","oke","okay","bin","name","ngämo","yes","no",NA
"ngämo","1.sg.poss","Ngämo pazi da zegatt a ge independance de angde ngattong Papwa Nu Gini da angde independance gogon","My year of birth is about the timewhen Papua New Guinea first got its independence","ge","this,","pazi","year","ngämo","yes","no",NA
"oba","3.nsg.poss","Ngattongattong ubi gozaeyän ngäna imne oba imne dan","They were born ahead of me, l am behind, after them.","imne","after","imne","after","oba","yes","no",NA
"ngäma","1.excl.nsg.poss","A ddob ako ngäma imnealle ge ngämo mosemosen a ami dag","So the others who are after us and  our elders are still here today","ako","again","imnealle","after","ngäma","yes","no",NA
"ngämo","1.sg.poss","A ddob ako ngäma imnealle ge ngämo mosemosen a ami dag","So the others who are after us and  our elders are still here today","ge","this","mosemosen","elder siblings","ngämo","yes","no","kinship"
"ngämo","1.sg.poss","Oke ngänäm ngämo ngämo mäda wa ngämo mäg ubi ulle dageyo","I was raised by my mother and father (Parents).","","","","","ngämo","yes","no",NA
"ngämo","1.sg.poss","Oke ngänäm ngämo ngämo mäda wa ngämo mäg ubi ulle dageyo","I was raised by my mother and father (Parents).","","","mäda","father","ngämo","yes","no","kinship"
"ngämo","1.sg.poss","Oke ngänäm ngämo ngämo mäda wa ngämo mäg ubi ulle dageyo","I was raised by my mother and father (Parents).","wa","and","mäg","mother","ngämo","yes","no","kinship"
"ngämo","1.sg.poss","Skul i pazi da ngämo zan atta ereya ede a 1991","I went to school in the year 1991.","da","nom","zan","enter","ngämo","yes","no",NA
"ngämo","1.sg.poss","Ngäna ingglis eka walle ngämo nagnag aba kämall eka gontemenyne","I was communicating with my friends in English language (Refer to Notes)","walle","ins","nagnag","friends","ngämo","yes","no","kinship"
"aba","3.nsg.poss","Ngäna ingglis eka walle ngämo nagnag aba kämall eka gontemenyne","I was communicating with my friends in English language (Refer to Notes)","nagnag","friends","kämall","with","aba","yes","no",NA
"ngämo","1.sg.poss","Llimoll att nagnag a ngämo ge adada skul mi ngämi gobllabmallo ede ngämi ingglis eka walle de eka gogmamalle","When at school with my friends from Limol, we communicated in English.","a","nom","ge","this","ngämo","yes","no",NA
"ba","3.nsg.poss","Be ge da ada kona we guddällmamalle däbe ba eka walle Ende eka walle eka gogalle eka gontemenyamalle","But when we get back to our homes (kona = corners),we communicate in our (Ende) language.","däbe","that.nom","eka","speak","ba","yes","no",NA
"ngämo","1.sg.poss","Ngämo ma me ngämo zaga bo femli da giddollnen eran","In my house, is only family living there.","gontemenyamalle","converse.pl.rem.hab.plS,","ma","house","ngämo","yes","no",NA
"bo","3.sg.poss","Ngämo ma me ngämo zaga bo femli da giddollnen eran","In my house, is only family living there.","zaga","self","femli","family","bo","yes","no","kinship"
"ngämo","1.sg.poss","Siks lla da giddollnen eran ngämo ma me","Six people live in my house","eran","aux.prs.1|3sgA>3sgP","ma","house","ngämo","yes","no",NA
"ngämo","1.sg.poss","Ada ngämo mälla da Kristina oke Breton Yun Gugugel a Jerry","And they are my wife Christina, (kids) Breton, Yun, Gugugel and Jerry","ada","like this","mälla","woman","ngämo","yes","no","kinship"
